Timestamp,"How satisfied are you, and what are your thoughts about the organization and execution of the school event?",What is/are your suggestion(s) for improving future school events?
2023/03/22 1:36:40 PM GMT+8,Moderately satisfied. The audio is not very clear and the venue is cramped. But the speaker is knowledgeable.,Please fix your audio system because its not very audible or understandable.
2023/03/22 5:09:02 PM GMT+8,"Not satisfied. First, there were not enough seats in the venue and students need to get chairs themselves. Second, Audio is inaudible and there were not enough speakers to cover the whole venue. Lastly, The presentation is not visible from the back and ventilation is not enough.",Improve equipments and as much as possible not prolong the event without ice breakers
2023/07/06 9:43:47 PM GMT+8,https://docs.google.com/forms/d/1LpbHfhdwMqwHp7N8YODIcok6Noy0oLSWhlyFhR6i6Bs/edit#responses,I suggest that they should also asked the students to participate.
2023/07/06 9:43:59 PM GMT+8,It was fun in the same time tiring.,It should be well organize and short.
2023/07/06 9:44:11 PM GMT+8,The demonstration is good and impressive.,Additional demonstration.
2023/07/06 9:44:23 PM GMT+8,I’m much satisfied.,I’m suggesting for a lively energy.
2023/07/06 9:44:36 PM GMT+8,"Super satisfied, and happy to face my fear.",More orientations.
2023/07/06 9:44:53 PM GMT+8,Yes I have learned about the fire prevention.,Don’t panic.
2023/07/06 9:45:14 PM GMT+8,I am very satisfied because the performance is created well.,"For now, I have no suggestions."
2023/07/06 9:45:26 PM GMT+8,Excellent,Improve learnings.
2023/07/06 9:45:38 PM GMT+8,"Yes, I enjoy and learned how to prevent fire.",More activities to expand our knowledge.
2023/07/06 9:45:50 PM GMT+8,Very satisfied and enjoy.,More activities and events.
2023/07/06 9:46:13 PM GMT+8,Very satisfied.,Need big space.
2023/07/06 9:47:14 PM GMT+8,Excellent,Improve learnings.
2023/07/06 9:47:41 PM GMT+8,"Very satisfied for those who don’t know how to use dire extinguisher, but I already know all of this since High School.",They need to start from the outside for the event next year.
2023/07/06 9:48:01 PM GMT+8,"Very satisfied, the BFP give proper demonstration and the execution is well conducted.",I suggest that we need proper preparations for every upcoming event about this disaster.
2023/07/06 9:48:11 PM GMT+8,"Very satisfied, the execution is well conducted and it’s really good that they taught us in different way to prevent fire.",I suggest proper preparations.
